"","Country","Unit","Research Cycle","R. Cycle ID","Project Code","Item Type","output item id","HQ Update Request"
"99","BGD","other","","BGD1703","","brief","BGD1703_UNHCR SPP_Brief_1_October","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"100","BGD","other","","BGD1905","","ddr","BGD1905_WASH Infra Quality_DDR_1",""
"101","BGD","other","","BGD1905","","ddr","BGD1905_WASH Infra Quality_DDR_2","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"102","BGD","other","","BGD1902b","","tbd","BGD1902b_MSNA 2_JRP End of Year_Preliminary Output_1",""
"103","BGD","reporting","","BGD1703","","factsheet","BGD1703_UNHCR SPP_FS_1_May",""
"104","BGD","reporting","","BGD1703","","factsheet","BGD1703_UNHCR SPP_FS_1_October","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"105","BGD","reporting","","BGD1806","","factsheet","BGD1806_Hygiene_Items_Market_Analysis_factsheet_1",""
"106","BGD","reporting","","BGD1901","","factsheet","BGD1901_UNICEF_Education_Assessment_Factsheet_34",""
"107","BGD","reporting","","BGD1902a","","factsheet","BGD1902a_MSNA 1_JRP Mid Term_Dashboard_1",""
"108","BGD","reporting","","BGD1904a","","factsheet","BGD1904_WASH hygiene assessment_Factsheet_1",""
"109","BGD","reporting","","BGD1905","","factsheet","BGD1905_WASH Infra Quality_factsheet_1",""
"110","BGD","reporting","","BGD1803","","presentation","BGD1803_Host_Community_MSNA_Final_Presentation_1","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"111","BGD","reporting","","BGD1806","","presentation","BGD1806_Hygiene_Items_Market_Analysis_Preliminary_presentation_1",""
"112","BGD","reporting","","BGD1904a","","presentation","BGD1904_WASH hygiene assessment_Presentation_1",""
"113","BGD","reporting","","BGD1905","","presentation","BGD1905_WASH Infra Quality_presentation_1",""
"114","BGD","reporting","","BGD1801b","","report","BGD1801b_WASH 2019 HH Assessment_Report_1",""
"115","BGD","reporting","","BGD1803","","report","BGD1803_Host_Community_MSNA_Report_1",""
"116","BGD","reporting","","BGD1901","","report","BGD1901_UNICEF_Education_Assessment_Report_1",""
"117","BGD","reporting","","BGD1902b","","report","BGD1902b_MSNA 2_JRP End of Year_Report_1",""
"118","BGD","research design","","BGD1703","","ll matrix","BGD1703_UNHCR SPP_LL_1",""
"119","BGD","research design","","BGD1801b","","ll matrix","BGD1801b_WASH 2019 HH Assessment_LL_1",""
"120","BGD","research design","","BGD1803","","ll matrix","BGD1803_Host_Community_MSNA_LL_1",""
"121","BGD","research design","","BGD1806","","ll matrix","BGD1806_Hygiene_Items_Market_Analysis_LL_1",""
"122","BGD","research design","","BGD1901","","ll matrix","BGD1901_UNICEF_Education_Assessment_LL_1",""
"123","BGD","research design","","BGD1902a","","ll matrix","BGD1902a_MSNA 1_JRP Mid Term_LL_1",""
"124","BGD","research design","","BGD1902b","","ll matrix","BGD1902a_MSNA 1_JRP End of Year_LL_1",""
"125","BGD","research design","","BGD1904a","","ll matrix","BGD1904_WASH hygiene assessment_LL_1",""
"126","BGD","research design","","BGD1905","","ll matrix","BGD1905_WASH Infra Quality_LL_1",""
"127","BGD","research design","","BGD1703","","M&E","BGD1703_UNHCR SPP_M&E_1",""
"128","BGD","research design","","BGD1801b","","M&E","BGD1801b_WASH 2019 HH Assessment_M&E_1",""
"129","BGD","research design","","BGD1803","","M&E","BGD1803_Host_Community_MSNA_M&E_1",""
"130","BGD","research design","","BGD1806","","M&E","BGD1806_Hygiene_Items_Market_Analysis_M&E_1",""
"131","BGD","research design","","BGD1901","","M&E","BGD1901_UNICEF_Education_Assessment_M&E_1",""
"132","BGD","research design","","BGD1902a","","M&E","BGD1902a_MSNA 1_JRP Mid Term_M&E_1",""
"133","BGD","research design","","BGD1902b","","M&E","BGD1902a_MSNA 2_JRP End of Year_M&E_1",""
"134","BGD","research design","","BGD1904a","","M&E","BGD1904_WASH hygiene assessment_M&E_1",""
"135","BGD","research design","","BGD1905","","M&E","BGD1905_WASH Infra Quality_M&E_1",""
"136","BGD","research design","","BGD1805","","ToR","BGD1805_IM_Support_ISCG_Control_Rooms_TOR_1","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"137","BGD","research design","","BGD1806","","ToR","BGD1806_Hygiene_Items_Market_Analysis_TOR_1",""
"138","BGD","research design","","BGD1902b","","ToR","BGD1902b_MSNA 2_JRP End of Year_TOR_1",""
"139","BGD","research design","","BGD1903a","","ToR","BGD1903a_WASH Infra Coding Tubewells_TOR_1",""
"140","BGD","research design","","BGD1903b","","ToR","BGD1903a_WASH Infra Coding Latrines_TOR_1",""
"141","BGD","research design","","BGD1905","","ToR","BGD1905_WASH Infra Quality_TOR_1",""
"142","BRA","data","","BRA1902","","analysis","BRA1902_ABA_Analysis_2_FGD_Boa Vista R1",""
"143","BRA","data","","BRA1902","","analysis","BRA1902_ABA_Analysis_2_FGD_Manaus R2",""
"144","BRA","data","","BRA1902","","analysis","BRA1902_ABA_Analysis_2_FGD_Pacaraima R3",""
"145","BRA","data","","BRA1903","","analysis","BRA1903_Interiorisation_Analysis_2_KI",""
"146","BRA","data","","BRA1901","","data","BRA1901_BSU Mapping_Data_1_KI_Boa Vista & Manaus R2",""
"147","BRA","data","","BRA1901","","data","BRA1901_BSU Mapping_Data_2_Participatory Mapping_Boa Vista & Manaus R2",""
"148","BRA","data","","BRA1901","","data","BRA1901_BSU Mapping_Data_1_KI_Pacaraima R2",""
"149","BRA","data","","BRA1901","","data","BRA1901_BSU Mapping_Data_2_Participatory Mapping_Pacaraima R2",""
"150","BRA","data","","BRA1902","","data","BRA1902_ABA_Data_2_FGD_Boa Vista R1",""
"151","BRA","data","","BRA1902","","data","BRA1902_ABA_Data_2_FGD_Manaus R2",""
"152","BRA","data","","BRA1902","","data","BRA1902_ABA_Data_2_FGD_Pacaraima R3",""
"153","BRA","data","","BRA1903","","data","BRA1903_Interiorisation_Data_4_KI",""
"154","BRA","data","","BRA1902","","data & analysis","BRA1902_FDG_Boa_Vista_April 2019",""
"155","BRA","data","","BRA1902","","data & analysis","BRA1902_FDG_Boa_Vista_May 2019",""
"156","BRA","data","","BRA1902","","data & analysis","BRA1902_FDG_Boa_Vista_June 2019",""
"157","BRA","data","","BRA1902","","data & analysis","BRA1902_FDG_Boa_Vista_July 2019","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"158","BRA","data","","BRA1902","","data & analysis","BRA1902_ABA_Data_and_Analysis_1_KII_Manaus R2",""
"159","BRA","data","","BRA1902","","data & analysis","BRA1902_ABA_Data_and_Analysis_1_KII_Pacaraima R3",""
"160","BRA","GIS","","BRA1901","","map","BRA1901_BSU Mapping_Map_1_Boa Vista R1",""
"161","BRA","GIS","","BRA1901","","map","BRA1901_BSU Mapping_Map_1_Pacaraima R1",""
"162","BRA","GIS","","BRA1901","","map","BRA1901_BSU Mapping_Map_1_Pacaraima R1",""
"163","BRA","GIS","","BRA1901","","map","BRA1901_BSU Mapping_Map_1_Boa Vista & Manaus R2",""
"164","BRA","GIS","","BRA1901","","map","BRA1901_BSU Mapping_Map_1_Pacaraima R2",""
"165","BRA","other","","BRA_REF","","","REFERENCE MAPS","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"166","BRA","other","","BRA1902","","situation overview","BRA1902_ABA_Situation Overview_1_Boa Vista R1",""
"167","BRA","other","","BRA1902","","situation overview","BRA1902_ABA_Situation Overview_1_Manaus R2",""
"168","BRA","other","","BRA1902","","situation overview","BRA1902_ABA_Situation Overview_1_Pacaraima R3",""
"169","BRA","other","","BRA1903","","situation overview","BRA1903_Interiorisation_SO",""
"170","BRA","reporting","","BRA1901","","factsheet","BRA1901_BSU Mapping_FS_1_Boa Vista R1",""
"171","BRA","reporting","","BRA1901","","factsheet","BRA1901_BSU Mapping_FS_1_Manaus R1",""
"172","BRA","reporting","","BRA1901","","factsheet","BRA1901_BSU Mapping_FS_1_Pacaraima R1",""
"173","BRA","reporting","","BRA1901","","factsheet","BRA1901_BSU Mapping_FS_1_Boa Vista & Manaus R2",""
"174","BRA","reporting","","BRA1901","","factsheet","BRA1901_BSU Mapping_FS_1_Pacaraima R2",""
"175","BRA","reporting","","BRA1902","","report","BRA1902_ABA_Report_1_Comparative Analysis","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"176","BRA","reporting","","BRA1903","","report","BRA1903_Interiorisation_Report_1",""
"177","BRA","research design","","BRA1901","","ll matrix","BRA1901_BSU Mapping_LL_1",""
"178","BRA","research design","","BRA1902","","ll matrix","BRA1902_ABA_LL_1",""
"179","BRA","research design","","BRA1903","","ll matrix","BRA1903_Interiorisation_LL_1",""
"180","BRA","research design","","BRA1901","","M&E","BRA1901_BSU Mapping_M&E_1",""
"181","BRA","research design","","BRA1902","","M&E","BRA1902_ABA_M&E_1",""
"182","BRA","research design","","BRA1903","","M&E","BRA1903_Interiorisation_M&E_1",""
"183","CAM","research design","","CAM1801","","ll matrix","CAM1801_Shelter_Cluster_Assessment_LL_1",""
"184","CAR","data","","CAR1901","","analysis","CAR_1901_MSNA_Analysis_1_HH",""
"185","CAR","data","","CAR1901","","analysis","CAR_1901_MSNA_Analysis_2_KI",""
"186","CAR","data","","CAR1902","","analysis","CAR_1902_HdR_Analysis_1_May",""
"187","CAR","data","","CAR1902","","analysis","CAR_1902_HdR_Analysis_2_June",""
"188","CAR","data","","CAR1902","","analysis","CAR_1902_HdR_Analysis_3_July",""
"189","CAR","data","","CAR1902","","analysis","CAR_1902_HdR_Analysis_4_Aug",""
"190","CAR","data","","CAR1902","","analysis","CAR_1902_HdR_Analysis_5_Sept",""
"191","CAR","data","","CAR1902","","analysis","CAR_1902_HdR_Analysis_6_Oct",""
"192","CAR","data","","CAR1902","","analysis","CAR_1902_HdR_Analysis_7_Nov",""
"193","CAR","data","","CAR1902","","analysis","CAR_1902_HdR_Analysis_8_Dec",""
"194","CAR","data","","CAR1902","","analysis","CAR_1902_HdR_Analysis_9_Jan",""
"195","CAR","data","","CAR1902","","analysis","CAR_1902_HdR_Analysis_10_Feb",""
"196","CAR","data","","CAR1903","","analysis","CAR_1903_JMMI_Analysis_1_July 2019",""
"197","CAR","data","","CAR1903","","analysis","CAR_1903_JMMI_Analysis_1_August 2019",""
"198","CAR","data","","CAR1903","","analysis","CAR_1903_JMMI_Analysis_1_September 2019",""
"199","CAR","data","","CAR1903","","analysis","CAR_1903_JMMI_Analysis_1_October 2019",""
"200","CAR","data","","CAR1903","","analysis","CAR_1903_JMMI_Analysis_1_November 2019",""
"201","CAR","data","","CAR1903","","analysis","CAR_1903_JMMI_Analysis_1_December 2019",""
"202","CAR","data","","CAR1903","","analysis","CAR_1903_JMMI_Analysis_1_January 2020",""
"203","CAR","data","","CAR1903","","analysis","CAR_1903_JMMI_Analysis_1_February 2020",""
"204","CAR","data","","CAR1904","","analysis","CAR_1904_Ad_Hoc_Market_Assessment_Analysis","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"205","CAR","data","","CAR1905","","analysis","CAR_1905_Education_Infrastructures_Mapping_Analysis_","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"206","CAR","data","","CAR1906","","analysis","CAR_1906_Education_Needs_Displaced_Population_Analysis_","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"207","CAR","data","","CAR1901","","data","CAR_1901_MSNA_Data_1_HH",""
"208","CAR","data","","CAR1901","","data","CAR_1901_MSNA_Data_2_KI",""
"209","CAR","data","","CAR1901","","data","CAR_1901_MSNA_Data Deletion Report_1",""
"210","CAR","data","","CAR1902","","data","CAR_1902_HdR_Data_1_May",""
"211","CAR","data","","CAR1902","","data","CAR_1902_HdR_Data_2_June",""
"212","CAR","data","","CAR1902","","data","CAR_1902_HdR_Data_3_July",""
"213","CAR","data","","CAR1902","","data","CAR_1902_HdR_Data_4_Aug",""
"214","CAR","data","","CAR1902","","data","CAR_1902_HdR_Data_5_Sept",""
"215","CAR","data","","CAR1902","","data","CAR_1902_HdR_Data_6_Oct",""
"216","CAR","data","","CAR1902","","data","CAR_1902_HdR_Data_7_Nov",""
"217","CAR","data","","CAR1902","","data","CAR_1902_HdR_Data_8_Dec",""
"218","CAR","data","","CAR1902","","data","CAR_1902_HdR_Data_9_Jan",""
"219","CAR","data","","CAR1902","","data","CAR_1902_HdR_Data_10_Feb",""
"220","CAR","data","","CAR1903","","data","CAR_1903_JMMI_Data_1_July 2019",""
"221","CAR","data","","CAR1903","","data","CAR_1903_JMMI_Data_1_August 2019",""
"222","CAR","data","","CAR1903","","data","CAR_1903_JMMI_Data_1_September 2019",""
"223","CAR","data","","CAR1903","","data","CAR_1903_JMMI_Data_1_October 2019",""
"224","CAR","data","","CAR1903","","data","CAR_1903_JMMI_Data_1_November 2019",""
"225","CAR","data","","CAR1903","","data","CAR_1903_JMMI_Data_1_December 2019",""
"226","CAR","data","","CAR1903","","data","CAR_1903_JMMI_Data_1_January 2020",""
"227","CAR","data","","CAR1903","","data","CAR_1903_JMMI_Data_1_February 2020",""
"228","CAR","data","","CAR1904","","data","CAR_1904_Ad_Hoc_Market_Assessment_Data_","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"229","CAR","data","","CAR1905","","data","CAR_1905_Education_Infrastructures_Mapping_Data_","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"230","CAR","data","","CAR1906","","data","CAR_1906_Education_Needs_Displaced_Population_Data_","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"231","CAR","data","","CAR1701b","","data & analysis","CAR1701b_RRM MSA_July 19_data_and_analysis",""
"232","CAR","data","","CAR1701b","","data & analysis","CAR1701b_RRM MSA_August 19_data_and_analysis",""
"233","CAR","data","","CAR1701b","","data & analysis","CAR1701b_RRM MSA_September 19_data_and_analysis",""
"234","CAR","data","","CAR1701b","","data & analysis","CAR1701b_RRM MSA_October 19_data_and_analysis",""
"235","CAR","data","","CAR1701b","","data & analysis","CAR1701b_RRM MSA_November 19_data_and_analysis",""
"236","CAR","data","","CAR1701b","","data & analysis","CAR1701b_RRM MSA_December 19_data_and_analysis",""
"237","CAR","data","","CAR1901","","data & analysis","CAR_1901_MSNA_Data Analysis Plan_1",""
"238","CAR","GIS","","CAR1801","","map","CAR1801_AGORA_diagnostics_territoriaux_Bangui_Webmap_1",""
"239","CAR","GIS","","CAR1903","","map","CAR_1903_JMMI_Factsheet_1 maps",""
"240","CAR","other","","CAR1904","","output","CAR_1904_Ad_Hoc_Market_Assessment_Output_","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
"241","CAR","other","","CAR1905","","output","CAR_1905_Education_Infrastructures_Mapping_Output_","Estimated date of submission to HQ missing, please add in ""Date to HQ"" column"
